,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,3.6575002670288086,0.0,0.002001523971557617,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9465002229157379,0.9465002229157379,0.0,23
1,2.014502763748169,0.0,0.003998517990112305,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9557800224466891,0.9557800224466891,0.0,17
2,2.004503011703491,0.0,0.003000020980834961,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9552909458548641,0.9552909458548641,0.0,20
3,1.0005052089691162,0.0,0.0029969215393066406,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.959804574727959,0.959804574727959,0.0,2
4,0.8045065402984619,0.0,0.0030007362365722656,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9596094096759875,0.9596094096759875,0.0,3
5,0.657503604888916,0.0,0.0030012130737304688,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9558558558558558,0.9558558558558558,0.0,16
6,4.233969688415527,0.0,0.0019998550415039062,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9523383307227568,0.9523383307227568,0.0,22
7,1.927504539489746,0.0,0.0029993057250976562,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9570853822083147,0.9570853822083147,0.0,12
8,1.4835045337677002,0.0,0.004000425338745117,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9573375027920482,0.9573375027920482,0.0,10
9,1.347402572631836,0.0,0.003001689910888672,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.959375,0.959375,0.0,5
10,1.1934053897857666,0.0,0.0029993057250976562,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.960497114957834,0.960497114957834,0.0,1
11,1.3104066848754883,0.0,0.003998279571533203,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9593931280678268,0.9593931280678268,0.0,4
12,3.3503994941711426,0.0,0.002000093460083008,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9557443004023245,0.9557443004023245,0.0,18
13,1.4594037532806396,0.0,0.00400090217590332,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9556053811659193,0.9556053811659193,0.0,19
14,0.9224035739898682,0.0,0.004002094268798828,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.956735057983943,0.956735057983943,0.0,14
15,0.6909987926483154,0.0,0.002998828887939453,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9563855960635205,0.9563855960635205,0.0,15
16,1.597996473312378,0.0,0.0019996166229248047,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9592379264510412,0.9592379264510412,0.0,6
17,0.5799961090087891,0.0,0.0029985904693603516,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.0,0.0,0.0,24
18,2.64699649810791,0.0,0.0029997825622558594,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9549226283920161,0.9549226283920161,0.0,21
19,1.4009971618652344,0.0,0.002002239227294922,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9572419968659056,0.9572419968659056,0.0,11
20,0.8989956378936768,0.0,0.0019981861114501953,0.0,"(20, 20)",0.01,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9567942690843966,0.9567942690843966,0.0,13
21,0.7429990768432617,0.0,0.002996683120727539,0.0,"(20, 20)",0.01,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9580731489741303,0.9580731489741303,0.0,9
22,0.9609980583190918,0.0,0.0020008087158203125,0.0,"(20, 20)",0.1,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9582868614766897,0.9582868614766897,0.0,8
23,1.1159987449645996,0.0,0.002999544143676758,0.0,"(20, 20)",0.1,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9591111111111111,0.9591111111111111,0.0,7
