,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,8.709641695022583,0.0,0.00500035285949707,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8804622019692407,0.8804622019692407,0.0,14
1,4.032903432846069,0.0,0.0069980621337890625,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8929181234246687,0.8929181234246687,0.0,10
2,3.903224229812622,0.0,0.007875204086303711,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.89360643502778,0.89360643502778,0.0,9
3,3.6502625942230225,0.0,0.00700688362121582,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8983370197427706,0.8983370197427706,0.0,2
4,3.5425851345062256,0.0,0.0069997310638427734,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.7517767833640432,0.7517767833640432,0.0,21
5,1.4099094867706299,0.0,0.0069200992584228516,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.22834404652586474,0.22834404652586474,0.0,23
6,8.503166913986206,0.0,0.004999876022338867,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8736686875307226,0.8736686875307226,0.0,16
7,5.419368743896484,0.0,0.004996776580810547,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8971604629860938,0.8971604629860938,0.0,6
8,2.550899028778076,0.0,0.007999420166015625,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8764572674662419,0.8764572674662419,0.0,15
9,4.96350359916687,0.0,0.00799703598022461,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8982282653481665,0.8982282653481665,0.0,3
10,1.4729034900665283,0.0,0.0,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.7726086956521739,0.7726086956521739,0.0,19
11,2.380391836166382,0.0,0.008968353271484375,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8973409072198897,0.8973409072198897,0.0,5
12,9.128443956375122,0.0,0.005000114440917969,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8942063427026141,0.8942063427026141,0.0,8
13,6.85011887550354,0.0,0.004999399185180664,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8969021471889853,0.8969021471889853,0.0,7
14,1.900176763534546,0.0,0.008344888687133789,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.7712441418339376,0.7712441418339376,0.0,20
15,4.581104278564453,0.0,0.004996776580810547,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8987217305801376,0.8987217305801376,0.0,1
16,1.8944730758666992,0.0,0.00893259048461914,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8435704816615113,0.8435704816615113,0.0,17
17,1.5015873908996582,0.0,0.007066488265991211,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8872697503069995,0.8872697503069995,0.0,12
18,5.962904930114746,0.0,0.0060002803802490234,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8850289495450786,0.8850289495450786,0.0,13
19,5.0514068603515625,0.0,0.0059986114501953125,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8975577774135388,0.8975577774135388,0.0,4
20,1.790088415145874,0.0,0.009728431701660156,0.0,"(20, 20)",0.01,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.7443474997654563,0.7443474997654563,0.0,22
21,1.773705005645752,0.0,0.005994558334350586,0.0,"(20, 20)",0.01,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.88928,0.88928,0.0,11
22,1.686755657196045,0.0,0.006999969482421875,0.0,"(20, 20)",0.1,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8037685060565276,0.8037685060565276,0.0,18
23,1.545687198638916,0.0,0.005997896194458008,0.0,"(20, 20)",0.1,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.0,0.0,0.0,24
